,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,90,87.3419523819,90,90,90,89.7082343931,90,80.3726243675,90,90,82.9747558699,90,90,90,78.9034597029,90,90,90,84.0101891304,90,90,90,67.4195631637,81.2044485453,90,90,90,90,90,90,90,90,90,90,87.9980949281,
10,87.9886540891,86.0702293779,90,90,62.0853841565,84.1023834081,65.8576929067,89.1182553091,90,90,80.4280975275,90,90,83.7796148231,90,90,90,90,79.0513395086,82.8766754611,90,90,84.6114265045,90,88.2149389488,90,83.5572687961,90,67.3136335941,80.7776835047,90,90,90,90,85.7598022916,
15,86.1455250926,90,86.0702293779,90,90,61.687935756,70.4110227,68.4107462247,88.1732438896,90,88.8997531205,74.1326396394,90,90,85.0888889027,86.2848356887,90,90,86.2637868848,69.6106969073,81.9807206112,90,86.4692283083,86.9047323793,90,87.3335510005,90,83.6349489823,90,61.5353703076,77.1755813696,90,90,90,84.3003952101,
20,84.5450725062,90,86.2284753433,90,90,90,61.5554354816,74.5975108632,68.4107462247,87.9928219572,88.8929783718,88.4068971226,90,70.8891672613,82.3777653049,86.0162671841,82.2689662513,86.2981440929,90,89.9804983906,81.6461727642,64.6952262691,62.7141954817,90,85.9297057116,87.3118273061,90,83.2243681832,90,83.8296740229,90,61.6684746316,75.8679730672,90,82.804363641,
25,85.8182525022,90,86.4236777922,90,90,90,66.558338641,72.1542823411,60.1737422483,85.485457762,88.2987316682,86.6589645414,90,71.5904428696,82.997555638,85.236432604,78.3144867577,86.9004351142,90,89.9804983906,82.4811442439,64.3801632434,63.9151167017,90,86.2816965417,87.6937423442,82.5600868418,82.5650755573,90,71.3147350184,90,61.4770214185,76.8271307152,90,81.9437415146,
30,85.8182525022,87.2234176682,78.3825466778,68.075314332,84.8876926904,90,77.9565397173,67.1436843533,60.1737422483,78.5029638206,85.5686803525,75.9462912733,90,69.7128518961,79.4156451391,85.1286643005,78.2247822975,87.1454040208,90,89.9804983906,81.9532642866,65.1785825307,61.8349017837,90,84.5484370003,87.0502742614,82.9614243659,79.6117244781,90,70.0544680851,90,59.4947459445,76.5155507929,90,79.9555983885,
35,82.8111362183,82.3212189699,78.1034900316,67.4020640819,84.3777321564,87.4766686214,78.1474135193,62.6558015322,59.688166072,63.3468696047,85.9218220073,73.4369976747,90,71.7832292175,73.3604201066,76.0071399398,74.0202137806,87.1668296537,90,34.5953529844,89.9804983906,81.6144715419,62.1112682489,63.4637133641,90,85.3160651615,86.7959183316,76.0303468139,79.4539399346,90,74.3304304866,79.0651122153,59.8473914178,76.6472621883,76.3905583608,
40,82.8111362183,82.6072253601,77.7907958573,67.4020640819,82.8668557288,87.1681402018,71.1478509613,61.638727543,60.3031593792,64.2695703588,84.3074377351,71.8096722692,78.0686933855,71.5303572306,67.359199565,70.0626069933,72.0012053573,87.4702170267,90,34.5953529844,89.9804983906,82.0032629269,62.0756529313,57.6105142051,90,82.0202544457,73.1115120232,76.2219373051,79.1733077475,90,76.3861682057,70.6320389711,60.1259036645,71.3697379037,74.2917957929,
,7.1888637817,4.7347270218,12.2092041427,22.5979359181,7.1331442712,2.5400941913,18.8521490387,18.7338968245,29.6968406208,25.7304296412,-1.3326818652,18.1903277308,11.9313066145,18.4696427694,11.5442601379,19.9373930067,17.9987946427,2.5297829733,-5.9898108696,55.4046470156,0.0195016094,7.9967370731,5.3439102324,23.5939343402,0,7.9797455543,16.8884879768,13.7780626949,10.8266922525,0,13.6138317943,19.3679610289,29.8740963355,18.6302620963,13.7062991352,479.7204697319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81.680543766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.4443501276,
,,,,stddev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23.7894728381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
